iter	Passed	Remaining
885	4813	22350
886	4817	22339
887	4827	22353
888	4844	22401
889	4858	22436
890	4875	22483
891	4882	22486
892	4887	22477
893	4895	22484
894	4902	22487
895	4907	22477
896	4911	22467
897	4916	22456
898	4923	22458
899	4930	22461
900	4934	22446
901	4938	22434
902	4941	22420
903	4945	22408
904	4950	22402
905	4958	22405
906	4973	22442
907	4983	22458
908	4991	22462
909	5004	22493
910	5009	22484
911	5022	22513
912	5027	22504
913	5046	22559
914	5086	22709
915	5099	22736
916	5108	22744
917	5116	22752
918	5120	22738
919	5125	22729
920	5129	22717
921	5133	22703
922	5136	22687
923	5139	22671
924	5145	22667
925	5157	22689
926	5171	22723
927	5174	22707
928	5179	22697
929	5182	22681
930	5185	22665
931	5191	22661
932	5195	22645
933	5197	22627
934	5202	22619
935	5205	22601
936	5208	22584
937	5221	22609
938	5232	22627
939	5234	22609
940	5237	22591
941	5241	22580
942	5245	22565
943	5249	22555
944	5252	22538
945	5258	22533
946	5262	22522
947	5268	22517
948	5274	22513
949	5280	22509
950	5284	22501
951	5290	22497
952	5294	22484
953	5298	22470
954	5300	22452
955	5310	22465
956	5314	22451
957	5319	22445
958	5323	22432
959	5331	22434
960	5333	22418
961	5336	22401
962	5342	22394
963	5346	22382
964	5354	22387
965	5357	22374
966	5361	22360
967	5369	22364
968	5374	22355
969	5377	22343
970	5381	22329
971	5387	22326
972	5390	22310
973	5396	22308
974	5399	22291
975	5412	22314
976	5422	22328
977	5429	22329
978	5434	22320
979	5437	22304
980	5449	22326
981	5458	22334
982	5467	22342
983	5482	22376
984	5491	22383
985	5495	22373
986	5508	22396
987	5513	22387
988	5518	22379
989	5528	22393
990	5540	22414
991	5545	22406
992	5551	22402
993	5558	22402
994	5565	22401
995	5570	22393
996	5574	22382
997	5584	22393
998	5592	22399
999	5599	22397
1000	5606	22398
1001	5614	22401
1002	5626	22421
1003	5630	22410
1004	5638	22414
1005	5643	22407
1006	5647	22392
1007	5658	22407
1008	5663	22402
1009	5670	22400
1010	5682	22422
1011	5687	22411
1012	5704	22450
1013	5708	22439
1014	5711	22425
1015	5719	22428
1016	5728	22436
1017	5738	22447
1018	5750	22466
1019	5756	22462
1020	5763	22459
1021	5769	22456
1022	5781	22474
1023	5787	22473
1024	5795	22474
1025	5806	22491
1026	5818	22507
1027	5823	22499
1028	5826	22485
1029	5835	22490
1030	5839	22479
1031	5844	22473
1032	5848	22461
1033	5853	22452
1034	5856	22436
1035	5862	22431
1036	5872	22441
1037	5878	22439
1038	5884	22435
1039	5901	22472
1040	5907	22467
1041	5920	22487
1042	5925	22479
1043	5933	22482
1044	5941	22485
1045	5948	22486
1046	5958	22497
1047	5965	22497
1048	5975	22504
1049	5981	22503
1050	5991	22510
1051	6001	22523
1052	6010	22530
1053	6026	22561
1054	6035	22566
1055	6038	22553
1056	6043	22544
1057	6048	22534
1058	6051	22520
1059	6077	22591
1060	6125	22740
1061	6138	22763
1062	6145	22762
1063	6149	22750
1064	6153	22736
1065	6164	22749
1066	6169	22740
1067	6172	22725
1068	6176	22712
1069	6179	22695
1070	6182	22679
1071	6186	22668
1072	6195	22675
1073	6198	22660
1074	6205	22655
1075	6209	22644
1076	6217	22645
1077	6222	22639
1078	6228	22633
1079	6238	22643
1080	6245	22640
1081	6256	22655
1082	6261	22645
1083	6265	22634
1084	6278	22655
1085	6283	22645
1086	6288	22638
1087	6293	22629
1088	6298	22619
1089	6301	22605
1090	6318	22639
1091	6325	22637
1092	6332	22634
1093	6336	22622
1094	6346	22634
1095	6357	22643
1096	6363	22640
1097	6369	22635
1098	6381	22650
1099	6388	22650
1100	6393	22641
1101	6401	22645
1102	6409	22644
1103	6413	22632
1104	6417	22622
1105	6423	22615
1106	6438	22641
1107	6442	22630
1108	6460	22665
1109	6468	22667
1110	6471	22653
1111	6477	22648
1112	6480	22633
1113	6491	22644
1114	6498	22643
1115	6503	22632
1116	6508	22623
1117	6511	22608
1118	6515	22596
1119	6519	22585
1120	6532	22605
1121	6538	22598
1122	6545	22597
1123	6553	22598
1124	6556	22582
1125	6559	22567
